Object,Group,Canon[1],Canon[2],Canon[3],Canon[4]
Aniakchak,Ash-Flow,-1.101511481,2.836730886,-0.370357821,0.004195502
Apoyeque,Ash-Flow,0.355245228,0.508720347,1.002504872,0.189907527
Cerro,Ash-Flow,-0.824938963,1.140066594,-0.090775993,1.952484324
Chaiten,Ash-Flow,1.072773794,3.670467941,2.277852405,-0.892176997
Fisher,Ash-Flow,1.412046842,5.172031784,-1.432545206,-3.225275036
Incapillo,Ash-Flow,0.556440836,2.919942596,1.364467642,-0.575068293
Maninjau,Ash-Flow,2.178301983,2.557929915,-0.601523921,0.791614503
Segara,Ash-Flow,1.839358184,0.194124546,-0.839739391,0.011472676
Semisopochnoi,Ash-Flow,0.688132831,1.289125609,-1.838549446,-1.851016376
Coatepeque,Ash-Flow,1.136310171,0.953153856,-0.653755933,-0.616429451
Crater_Lake,Ash-Flow,0.125560738,1.33705537,-2.608501372,0.15991286
Novarupta,Ash-Flow,0.125423924,-0.086157121,-0.868278922,-0.188874103
Valles,Ash-Flow,0.637687945,1.600278059,-1.804042724,-0.397730135
Aira,Ash-Flow,0.863612939,2.22048765,1.461440138,1.729433099
Towada,Ash-Flow,0.057732367,2.852122513,0.476554396,1.917065894
Akan_B,Ash-Flow,0.000789791,2.510242816,0.21635421,1.517248871
Mashu,Ash-Flow,1.747546482,4.565206522,-0.06322113,-0.760941149
Kutcharo,Ash-Flow,0.633266339,2.717349745,-1.263754801,-1.141635473
Akan,Ash-Flow,1.153359514,2.666765678,0.716353842,0.810132295
Uzon,Ash-Flow,1.237644871,3.562210445,0.508600651,-0.797790044
Krasheninnikov,Ash-Flow,-0.336432714,1.205954813,2.660490751,0.85088885
Tien-Chi,Ash-Flow,1.436144777,4.774397912,-0.396430244,-0.811720422
Long_Valley,Ash-Flow,-0.04195261,1.557763107,0.31701184,0.196543525
Apoyo_B,Ash-Flow,0.346457812,4.567339737,-1.306212856,0.988808328
Diamante,Ash-Flow,1.442424034,2.997616334,0.846741201,-1.124707007
Torfajokull,Ash-Flow,0.398342506,4.96820106,0.752661267,-0.871888272
Old_YS_Caldera,Ash-Flow,1.497681771,1.283081404,-0.473942166,-0.794344548
Henrys_Fork,Ash-Flow,0.532735057,-1.117347668,-0.4549951,-1.060889006
West_Thumb,Ash-Flow,0.709597269,0.998196345,-0.233287531,-0.931620164
Yellowstone,Ash-Flow,0.053536525,1.381912708,-1.39721604,-2.629139216
Whakamaru,Ash-Flow,0.912484237,1.369393472,1.915678982,0.560198588
Maysaya,Ash-Flow,2.226699186,3.78147594,0.597864989,1.021331177
Mangakino,Ash-Flow,0.193289288,1.879417128,0.1861666,-0.573099032
Taupo,Ash-Flow,2.067823915,3.796694705,-0.303456121,-1.410944428
Reporoa,Ash-Flow,0.86288313,5.689550666,0.171580148,-0.248545479
Kapenga,Ash-Flow,3.876560324,3.34485908,1.21708411,0.424589942
Rotorua,Ash-Flow,0.553768539,3.5703824,-1.30434872,-0.969311447
Ohakuri,Ash-Flow,1.722750327,5.843059651,0.896155852,1.167033294
Cerro_Azul,Basaltic Shield,1.546274758,-1.602438561,0.888953655,0.74471635
Fernandina,Basaltic Shield,0.459694098,-3.02563272,3.239621756,-0.502943307
Isla_Tortuga,Basaltic Shield,-0.520184737,-0.455496726,1.80804488,-1.076295586
Las_Canadas_Teide,Basaltic Shield,-1.026932628,0.120319782,4.346669685,2.161906477
Mat'ala,Basaltic Shield,-0.947218629,1.742327201,1.249741379,-1.269663285
Nyamuragira,Basaltic Shield,-0.37924617,-0.870531558,0.794588327,1.171053108
Reunion,Basaltic Shield,-0.988888921,-1.43565413,2.555372894,-0.05361919
Sierra_Negra,Basaltic Shield,0.329506593,-0.978806086,1.192988593,-0.415629458
Volcan_Alcedo,Basaltic Shield,-0.994119094,-0.757500273,0.436377393,0.750607181
Volcan_Darwin,Basaltic Shield,0.405608127,1.128288615,1.803266161,0.664430548
Volcan_Wolf,Basaltic Shield,2.089085121,-0.324962839,2.106277064,-0.719338928
Erta_Ale,Basaltic Shield,0.834033469,-0.375897256,2.924958535,-4.301211779
Karthala,Basaltic Shield,-0.715837443,-0.703739241,3.049813243,0.693514841
Kilauea,Basaltic Shield,0.582174117,-0.203673533,2.685242174,0.146491033
Silali,Basaltic Shield,0.674173208,-0.746344347,2.080713917,-0.668697709
Olmoti,Basaltic Shield,-0.33922813,-0.591571577,3.375460889,-1.266407152
Ngurdoto,Basaltic Shield,2.016699516,-1.157447914,1.435092842,-0.994684792
Emi_Koussi,Basaltic Shield,0.00669684,-0.246477469,3.119659323,0.54302309
Embagai,Basaltic Shield,0.957216696,0.494757567,1.156671118,-0.225414703
Donguinyo,Basaltic Shield,-1.2963083,-0.204662934,1.805815959,0.597876118
Deriba,Basaltic Shield,-1.126771373,0.442709386,1.608100699,-0.495713863
Barrier,Basaltic Shield,0.605050812,-0.079426548,4.974654138,-1.760866749
Dolomieu,Basaltic Shield,0.567322708,-0.885819799,4.355301059,1.424493538
Niuafo'ou,Basaltic Shield,-1.362571206,0.138607306,0.537730033,-1.055907031
Toya,Basaltic Shield,-0.542511031,1.304784177,3.843186212,0.03124918
Mauna_Loa,Basaltic Shield,0.53453589,-0.114877225,0.195508341,0.171652083
Volcan_Wolf_B,Basaltic Shield,0.698872085,0.621960004,2.753237568,1.146722367
Volcan_Darwin_B,Basaltic Shield,-0.212571533,0.534867895,1.308689957,-0.561182403
Askja,Basaltic Shield,-0.605156294,-0.138056418,0.025829372,0.604719542
Alcedo,Basaltic Shield,-1.226982118,-2.08133031,1.14364159,-0.806193974
Cerro_Azul,Basaltic Shield,0.195336095,0.232337524,1.399523303,-0.866207951
Ambrym,Basaltic Shield,0.413349395,0.74164264,3.19146439,0.766926652
Aoba-Ambae-1,Basaltic Shield,-0.269397298,0.729814036,0.795401932,-0.278703184
Aoba-Ambae-2,Basaltic Shield,0.268603948,-0.212972806,1.531151,2.603416063
Fantale,Basaltic Shield,-0.11453532,-0.343264078,1.531476661,0.605433297
Prometheus,Io Patera,3.517144599,-0.763211532,-0.714401163,0.789821873
Grannos-nested,Io Patera,1.064688856,-1.132836724,1.208640181,-0.404591118
Grannos,Io Patera,0.433657425,-0.378096309,0.441283726,-0.082600114
Ababinili,Io Patera,3.127439752,0.490634295,-0.446575359,0.767074036
Ruaumoko,Io Patera,1.860365712,0.448406479,-0.293435423,-1.094422455
Steropes,Io Patera,2.052881917,0.653595473,-1.471741254,2.0181756
Steropes-nested,Io Patera,3.098876572,-0.650940126,-2.488097196,1.231246305
Camaxtli,Io Patera,2.192015091,0.840507115,-0.087961717,0.579832891
Unnamed-8_46--139_35,Io Patera,3.995985828,-2.291306061,0.809841237,-2.594485229
Tien-Mu,Io Patera,1.313954876,-0.813733815,1.361610166,1.625117589
Yaw,Io Patera,4.318919026,0.537279715,-0.344396685,1.166044612
Tupan,Io Patera,2.963375286,-0.079996902,0.6847604,0.677047738
Unnamed-18_45--117_41,Io Patera,2.261383411,-0.824469245,-0.200137706,0.567087163
Gish_Bar,Io Patera,1.942131578,-2.410795259,-1.744724843,-0.90722537
Horus-A,Io Patera,1.898131163,-2.048220295,-0.927383834,1.14745793
Horus-B,Io Patera,2.901416447,-1.070890156,0.34707171,-0.857242828
Horus-C,Io Patera,1.097970649,-1.98233058,0.414328074,0.190373196
Kava-A,Io Patera,-1.031502086,-1.225810516,-0.736620093,0.209324871
Kava-B,Io Patera,1.454464252,-0.434165452,0.293928019,-0.493197947
Huo_Shen-A,Io Patera,2.25441494,0.327240051,-1.725461738,-0.143865643
Huo_Shen-B,Io Patera,1.567536241,-0.641906454,-2.285536354,-0.725771906
Huo_Shen-C,Io Patera,2.787855595,0.163961169,-0.882937424,-0.63223977
Unnamed--20_40-27_83,Io Patera,1.072449433,0.580594674,-0.969936011,-0.537072508
Unnamed--31_17-27_92,Io Patera,2.605983135,-0.738526339,-0.44888315,-1.575450077
Unnamed--40_82-34_43,Io Patera,2.071764262,-2.211438342,0.492762981,0.625600721
Maasaw,Io Patera,3.246477447,0.392038745,-1.062727524,-1.104977216
Maasaw-nested,Io Patera,3.489515736,-0.735088814,-0.088570107,-1.38524988
Unnamed-48_74--156_27,Io Patera,1.263168557,-1.435356567,-1.218457751,-0.419859976
Unnamed-0_35-20_14,Io Patera,1.771577116,-1.492123419,-0.44949458,-0.383154109
Unnamed-19_39-25_89,Io Patera,3.179601864,-0.935771339,1.967002638,-2.44812559
Unnamed-48_06-57_59,Io Patera,1.029645771,-0.822773283,-1.019912101,-0.526684582
Khalla,Io Patera,3.294720876,-0.012375399,-1.214599192,2.052615802
Kibero,Io Patera,0.939917099,1.540978639,-2.044134169,0.561858854
Podja,Io Patera,-1.249738054,-0.811859866,-0.250091148,-0.392575631
Ninurta,Io Patera,1.14370372,-2.345806431,-0.278196839,-0.980232514
Sengen,Io Patera,0.051091212,-0.908921948,0.434607243,-0.742136219
Unnamed--28_33-34_65,Io Patera,1.340977245,-0.454019828,-1.202610379,0.589963309
Unnamed--12_66-63_27,Io Patera,0.647469046,0.160270962,0.267053176,-1.012393228
Unnamed-6_76-83_31,Io Patera,2.186435021,-1.037395986,-1.089887317,-0.425167545
Unnamed-25_25-78_83,Io Patera,1.484718978,-1.198564318,-1.884973939,-0.436459553
Daedalus,Io Patera,0.158990375,-0.009451156,0.805744844,-0.358004625
Unnamed-16_01--78_46,Io Patera,-0.622792521,-0.900485979,-1.443112021,0.313423505
Atar,Io Patera,-1.16173371,0.680566701,0.035323873,-0.739753068
Unnamed-40_32-73_03,Io Patera,1.581945987,-0.970146292,1.740967194,0.505754285
Unnamed--37_98-105_86,Io Patera,0.568095503,-0.239185421,-0.456567939,1.832053369
Unnamed--26_42--115_92,Io Patera,1.400505001,-0.413636226,1.830549297,-0.298639651
Mafuike,Io Patera,1.842865777,1.847312757,-0.387277049,0.154240721
Mafuike-lower,Io Patera,2.239124182,0.434816239,0.43175074,-1.111851059
Pillan,Io Patera,0.275996832,-0.875597564,0.880532316,-1.673132893
Unnamed-12_06-99_42,Io Patera,0.475640211,-0.505316195,-0.603702109,0.062060655
Llew,Io Patera,1.86751458,-0.368778533,-0.333754041,2.067092313
Unnamed--15_32-128_80,Io Patera,0.186019614,-1.659867289,-1.834710641,0.510071341
Unnamed--62_58-163_03,Io Patera,0.417595657,-1.003542508,1.082678135,-0.316959187
Unnamed--47_13-156_70,Io Patera,-0.126542421,-2.627432667,-1.922750575,0.04307149
Bactria_Regio,Io Patera,1.816305671,0.903993902,1.490758182,-0.053889347
Unnamed--34_27--136_00,Io Patera,1.222446294,-1.845856706,1.453205894,-0.293073557
Unnamed-10_20--125_78,Io Patera,3.133847746,0.609846119,-0.859406031,-0.417801818
Unnamed-16_87--126_33,Io Patera,3.459232488,-1.612409744,-0.064655671,-0.51523308
Unnamed-22_73--134_55,Io Patera,2.691160175,0.048241248,0.111817467,-2.195502262
Unnamed-35_51--137_77,Io Patera,-0.630989398,-0.119250079,-0.62988179,-0.734503139
Unnamed-60_74--143_83,Io Patera,1.266126419,-1.233125775,0.068757746,-0.676298439
Savitr,Io Patera,2.933521387,0.890228265,-2.852112109,-0.572198716
Unnamed--35_11--119_85,Io Patera,1.483884182,0.879802342,-1.447442059,1.102376068
Unnamed--25_02--101_65,Io Patera,1.698028248,-0.195093825,-1.67773292,0.689840317
'Unnamed--47_38--108_81,Io Patera,1.648553148,-2.971274048,0.866850417,-0.009907003
Unnamed--34_44--100_89,Io Patera,2.289635916,-1.279983755,-1.042014092,-1.145532842
Unnamed--43_19--75_96,Io Patera,-0.525324873,0.393200243,-1.438329748,-0.143640153
Unnamed--46_10--81_77,Io Patera,2.869731553,0.624007697,-1.013160632,1.228337177
Unnamed--11_23--84_74,Io Patera,-1.860557302,-0.161387658,-0.952515443,-0.007669803
Unnamed-8_35--70_13,Io Patera,2.121268994,0.383697875,1.601112459,-0.112192245
Unnamed-21_87--75_38,Io Patera,1.346538719,-0.948320005,-0.856509498,0.720818164
Hatchawa,Io Patera,2.12428066,0.235616616,-0.618999783,-0.511623916
Bochica,Io Patera,-1.28791486,-0.726754288,-0.130094278,-0.534678977
Siun,Io Patera,-0.050504717,-2.007131059,-0.642450971,0.423777597
Illmarinen,Io Patera,0.450547539,-0.239996012,-0.122536759,-1.492737423
Unnamed--13_96--21_93,Io Patera,1.156449897,-0.117950753,-1.006386712,0.98501134
Hiruko,Io Patera,0.960913928,0.00689565,0.027993172,0.186392495
Lu_Huo,Io Patera,3.915310824,-0.743736461,-0.304691356,-1.389299315
Unnamed-2_04--124_70,Io Patera,2.452118265,-0.569822982,1.700400841,1.404735084
Nusku,Io Patera,2.631769361,-1.414930071,2.322803787,-0.031871676
Unnamed-42_94-69_50,Io Patera,0.961575052,-0.217936799,-0.182341832,0.190850683
Unnamed-46_77--145_52,Io Patera,1.441978473,0.898104031,-1.272064814,2.156651708
Tvashtar-A,Io Patera,1.152012025,1.924859696,-0.381416411,-0.641500765
Unnamed--54_96--119_34,Io Patera,2.061383716,1.148645433,-0.430787479,0.223692277
Unnamed-59_72--117_99,Io Patera,2.597131678,0.200444857,-0.487582016,-0.057028554
Unnamed-44_30--91_31,Io Patera,1.614856564,0.755982929,0.547747985,0.086269264
Ah_Peku,Io Patera,0.859301518,-1.468251018,1.03911634,0.78673757
Unnamed-6_07--97_45,Io Patera,1.949004592,1.356385255,-1.015923994,1.758815899
Unnamed--19_41--82_74,Io Patera,1.414706348,-0.845209717,-0.018169884,0.03636883
Estan,Io Patera,0.679424557,-0.773589832,-2.689724315,1.27768755
Kane,Io Patera,0.44571038,0.319575184,0.663563036,0.268424522
Kane-nested,Io Patera,2.7437359,-1.080658984,0.307121187,0.804013684
Creidne,Io Patera,1.577344201,0.770765369,-0.583656943,-0.063274638
Unnamed--31_09-21_91,Io Patera,0.890575465,-0.30044942,0.952823748,-0.234474148
Unnamed-16_55-28_51,Io Patera,3.788770124,-0.430379806,0.560558072,0.272814819
Kinich_Ahau,Io Patera,0.60594588,-1.06944602,0.557382294,-0.196705862
Tol-Ava,Io Patera,1.299305123,-0.320765521,-0.578423416,-0.032215343
Mazda-northern,Io Patera,2.549318675,1.205859037,0.641823528,0.375770866
Sed,Io Patera,1.303787392,1.238205267,0.506055223,-2.4962981
Viracocha,Io Patera,0.757878421,-0.590685066,-0.552944111,-0.150300231
Unnamed--6_65-84_07,Io Patera,2.142407023,0.180447413,-0.678380442,0.103519155
Gibil,Io Patera,-0.37545893,1.251739377,-0.267759352,-0.78429044
Unnamed--49_51-165_81,Io Patera,2.266078499,-0.563546638,-0.59751858,0.468099596
Paive,Io Patera,0.909586268,0.158405491,-1.002765367,-1.515503559
Mbali,Io Patera,1.552053432,-0.297677622,-0.431872358,0.591317866
Unnamed--49_54-30_13,Io Patera,1.08852389,-1.453914385,-0.651497759,0.895131312
Kava,Io Patera,0.888816268,0.946370005,-0.270131942,1.242711287
Unnamed--0_46-27_27,Io Patera,3.315130872,-1.798794067,1.321063322,-0.26300424
Nyambe,Io Patera,1.872173805,-2.588138978,-0.145708475,0.741389714
Unnamed-5_58-16_50,Io Patera,2.363817153,-3.185000758,0.956315079,-1.135004649
Surt,Io Patera,-0.94163864,0.421309912,0.781469587,-0.066307105
Dazhbog,Io Patera,-1.455253612,-1.850819467,-1.512362526,-0.133184303
Unnamed-46_15-51_78,Io Patera,2.917590927,-1.454159658,-0.858288509,1.047914361
Manua,Io Patera,0.68408407,-0.469797735,0.041879085,-0.865183888
Unnamed-21_96-36_85,Io Patera,-0.87393439,-1.6808516,-0.708986836,-0.415862596
Reshet,Io Patera,0.538602164,-0.419113764,0.359363571,-0.879034655
Mazda-southern,Io Patera,3.694385282,-0.773253878,-0.215465234,-0.686152115
Mihr,Io Patera,0.464146693,-0.191632529,0.895706027,-2.205661542
Rarog,Io Patera,1.15137965,-0.772310625,0.739539462,-0.543405665
Aten,Io Patera,-0.343424756,-0.949443943,2.046038554,-0.279785412
Unnamed--48_97-40_40,Io Patera,2.684558564,-3.258152518,-0.83838548,-0.665244939
Galai,Io Patera,0.028339122,-2.177786795,-1.657108402,-0.420835649
Unnamed-3_68-76_68,Io Patera,1.068685503,-1.085307566,1.497061696,-0.480544354
Unnamed-6_05-80_87,Io Patera,0.634711501,0.233445063,0.655376711,-1.088238466
Unnamed--25_53-102_74,Io Patera,4.150368527,0.230863998,-0.176050812,0.130308588
Unnamed--42_08-152_48,Io Patera,1.366075042,-0.313869922,-0.033002587,0.303321473
Gabija,Io Patera,1.853074654,1.604236818,-0.332708391,-0.891310201
Unnamed--58_73--129_53,Io Patera,-0.869382252,-0.824153581,0.786968893,1.147978082
Malik,Io Patera,1.941887697,-0.581062469,-0.55634433,1.552929763
Emakong,Io Patera,2.371707412,-0.526043616,0.324894634,-0.194076246
Dusura,Io Patera,-0.44242773,-0.210584956,-1.489790919,-0.086089994
Sigurd,Io Patera,1.139918467,0.041706445,1.268658182,0.09153725
Arusha,Io Patera,1.488898176,-0.137966352,-1.910585005,-1.210898987
Catha,Io Patera,-0.487456894,-0.517814652,0.880143978,-0.50628283
Ekhi,Io Patera,-0.224326319,-0.534640671,-0.289927949,0.675285615
Tawhaki,Io Patera,0.836142267,-0.979409958,-0.850443051,1.151817819
